variable,n_nulos,pct_nulos,dtype
aod_047_mean,767,41.98139025725233,float64
aod_055_mean,767,41.98139025725233,float64
date,0,0.0,datetime64[ns]
n_observations,0,0.0,int64
aod_disponible,0,0.0,int64
year,0,0.0,int32
month,0,0.0,int32
dayofyear,0,0.0,int32
month_sin,0,0.0,float64
month_cos,0,0.0,float64
doy_sin,0,0.0,float64
doy_cos,0,0.0,float64
aod_047_observado,767,41.98139025725233,float64
aod_055_observado,767,41.98139025725233,float64
aod_047_interp,0,0.0,float64
aod_055_interp,0,0.0,float64
aod_origen,0,0.0,object
